PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=1.95 ms
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=1.84 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=4.37 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=1.68 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=19.5 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=11.8 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=12.0 ms
64 bytes from 192.168.1.2: icmp_seq=8 ttl=64 time=3.99 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=7.29 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=4.82 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=2.62 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=17.4 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=41.8 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=22.9 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=22.10 ms
64 bytes from 192.168.1.2: icmp_seq=16 ttl=64 time=3.81 ms
64 bytes from 192.168.1.2: icmp_seq=17 ttl=64 time=2.59 ms
64 bytes from 192.168.1.2: icmp_seq=18 ttl=64 time=3.85 ms
64 bytes from 192.168.1.2: icmp_seq=19 ttl=64 time=9.11 ms
64 bytes from 192.168.1.2: icmp_seq=20 ttl=64 time=6.15 ms
64 bytes from 192.168.1.2: icmp_seq=21 ttl=64 time=13.10 ms
64 bytes from 192.168.1.2: icmp_seq=22 ttl=64 time=4.08 ms
64 bytes from 192.168.1.2: icmp_seq=23 ttl=64 time=11.5 ms
64 bytes from 192.168.1.2: icmp_seq=24 ttl=64 time=5.47 ms
64 bytes from 192.168.1.2: icmp_seq=25 ttl=64 time=2.45 ms
64 bytes from 192.168.1.2: icmp_seq=26 ttl=64 time=7.13 ms
64 bytes from 192.168.1.2: icmp_seq=27 ttl=64 time=2.59 ms
64 bytes from 192.168.1.2: icmp_seq=28 ttl=64 time=7.45 ms
64 bytes from 192.168.1.2: icmp_seq=29 ttl=64 time=3.55 ms
64 bytes from 192.168.1.2: icmp_seq=30 ttl=64 time=2.10 ms
64 bytes from 192.168.1.2: icmp_seq=32 ttl=64 time=1.87 ms
64 bytes from 192.168.1.2: icmp_seq=33 ttl=64 time=1.84 ms
64 bytes from 192.168.1.2: icmp_seq=34 ttl=64 time=10.7 ms
64 bytes from 192.168.1.2: icmp_seq=35 ttl=64 time=13.3 ms
64 bytes from 192.168.1.2: icmp_seq=36 ttl=64 time=5.39 ms
64 bytes from 192.168.1.2: icmp_seq=37 ttl=64 time=4.02 ms
64 bytes from 192.168.1.2: icmp_seq=38 ttl=64 time=4.38 ms
64 bytes from 192.168.1.2: icmp_seq=39 ttl=64 time=3.05 ms
64 bytes from 192.168.1.2: icmp_seq=40 ttl=64 time=2.14 ms
