PING 192.168.1.1 (192.168.1.1) 56(84) bytes of data,
1, 6.14,
2, 4.98,
3, 4.94,
4, 5.03,
5, 4.97,
6, 5.54,
7, 9.04,
8, 5.17,
9, 5.04,
10, 6.18,
11, 5.03,
12, 4.81,
13, 5.43,
14, 5.28,
15, 4.84,
16, 5.50,
17, 4.99,
18, 5.18,
19, 4.98,
20, 8.14,
21, 4.84,
22, 5.57,
23, 5.05,
24, 5.09,
25, 5.52,
26, 5.01,
27, 4.82,
28, 5.52,
29, 6.04,
30, 5.16,
31, 5.07,
32, 5.05,
33, 5.05,
34, 5.16,
35, 5.10,
36, 5.08,
37, 5.12,
38, 7.80,
39, 4.100,
40, 5.02,
41, 5.20,
42, 4.99,
43, 6.70,
44, 4.98,
45, 5.04,
46, 5.13,
47, 7.34,
48, 5.02,
49, 4.97,
50, 4.99,
51, 5.04,
52, 5.90,
53, 4.99,
54, 5.01,
55, 5.40,
56, 7.39,
57, 5.00,
58, 4.98,
59, 5.24,
60, 4.100,
61, 20.7,
62, 4.99,
63, 4.100,
64, 4.99,
65, 5.100,
66, 5.01,
67, 5.00,
68, 4.99,
69, 4.99,
70, 5.03,
71, 5.02,
72, 5.01,
73, 4.96,
74, 7.68,
75, 5.01,
76, 4.99,
77, 4.97,
78, 5.01,
79, 5.43,
80, 4.96,
81, 5.04,
82, 5.01,
83, 7.95,
84, 5.01,
85, 4.100,
86, 4.94,
87, 4.97,
88, 4.98,
89, 4.92,
90, 5.00,
91, 5.07,
92, 7.44,
93, 5.00,
94, 4.93,
95, 4.96,
96, 5.03,
97, 6.56,
98, 4.90,
99, 4.87,
100, 5.29,
101, 8.29,
102, 4.92,
103, 5.06,
104, 4.85,
105, 4.91,
106, 5.02,
107, 4.90,
108, 5.50,
109, 6.02,
110, 16.1,
111, 6.23,
112, 4.92,
113, 6.08,
114, 4.89,
115, 4.95,
116, 4.91,
117, 4.96,
118, 4.95,
119, 4.92,
120, 5.02,
121, 5.17,
122, 4.89,
123, 4.95,
124, 29.8,
